week,team_id,team_name,player_id,player_name,position,slot,points,projected
1,1,small sample size,29369,Dak Prescott,QB,QB,14.2,15.62
1,7,Guntry Club,40900,Caleb Williams,QB,QB,32.63,15.49
1,1,small sample size,30121,Christian McCaffrey,RB,RB,6.9,12.22
1,7,Guntry Club,33100,Rico Dowdle,RB,RB,2.05,7.46
1,1,small sample size,41821,Quinshon Judkins,RB,RB,3.5,7.07
1,7,Guntry Club,30972,Saquon Barkley,RB,RB,4.5,9.76
1,1,small sample size,40039,Zay Flowers,WR,WR,16.0,9.29
1,7,Guntry Club,32687,CeeDee Lamb,WR,WR,10.7,9.7
1,1,small sample size,40234,Parker Washington,WR,WR,12.65,7.12
1,7,Guntry Club,30197,Chris Godwin Jr.,WR,WR,4.15,6.82
1,1,small sample size,34010,Trey McBride,TE,TE,15.25,8.07
1,7,Guntry Club,33392,Kyle Pitts Sr.,TE,TE,0.0,5.78
1,1,small sample size,41922,Cam Skattebo,RB,W/R/T,10.05,8.99
1,7,Guntry Club,41293,Jalen Coker,WR,W/R/T,22.9,6.43
1,1,small sample size,41312,Harrison Mevis,K,K,1.0,7.82
1,7,Guntry Club,32858,Tyler Bass,K,K,13.0,7.06
1,1,small sample size,100014,Rams,DEF,DEF,2.0,5.81
1,7,Guntry Club,100007,Broncos,DEF,DEF,3.0,6.58
1,1,small sample size,40042,Jordan Addison,WR,BN,0.0,6.77
1,7,Guntry Club,34008,Alec Pierce,WR,BN,5.05,5.24
1,1,small sample size,41902,Woody Marks,RB,BN,2.5,5.15
1,7,Guntry Club,31856,Josh Jacobs,RB,BN,0.0,0.0
1,1,small sample size,33998,Wan'Dale Robinson,WR,BN,4.4,5.99
1,7,Guntry Club,40881,Drake Maye,QB,BN,5.91,14.94
1,1,small sample size,29269,Hunter Henry,TE,BN,2.8,5.28
1,7,Guntry Club,40641,Keaton Mitchell,RB,BN,0.45,4.03
1,1,small sample size,29235,Jared Goff,QB,BN,16.22,16.76
1,7,Guntry Club,40078,Brenton Strange,TE,BN,8.15,4.81
1,1,small sample size,40119,Tyjae Spears,RB,BN,2.2,6.09
1,7,Guntry Club,42661,Denzel Boston,WR,BN,9.95,4.32
1,1,small sample size,34207,Isiah Pacheco,RB,IR,0.0,0.0
1,7,Guntry Club,,,,IR,,
1,2,Bears,9265,Matthew Stafford,QB,QB,1.05,16.2
1,11,This Is How We Do,33389,Trevor Lawrence,QB,QB,29.05,15.24
1,2,Bears,29279,Derrick Henry,RB,RB,26.65,9.52
1,11,This Is How We Do,41807,Omarion Hampton,RB,RB,6.15,9.89
1,2,Bears,41791,Ashton Jeanty,RB,RB,22.35,9.14
1,11,This Is How We Do,40118,De'Von Achane,RB,RB,5.3,10.85
1,2,Bears,33394,Jaylen Waddle,WR,WR,0.6,8.04
1,11,This Is How We Do,31883,A.J. Brown,WR,WR,2.8,0.0
1,2,Bears,33989,Christian Watson,WR,WR,22.35,7.73
1,11,This Is How We Do,27581,Davante Adams,WR,WR,2.8,8.07
1,2,Bears,34085,Jake Ferguson,TE,TE,1.3,5.6
1,11,This Is How We Do,41001,AJ Barner,TE,TE,1.65,4.64
1,2,Bears,32705,D'Andre Swift,RB,W/R/T,25.2,7.95
1,11,This Is How We Do,33423,Javonte Williams,RB,W/R/T,18.1,10.33
1,2,Bears,28227,Cairo Santos,K,K,12.0,7.47
1,11,This Is How We Do,33537,Evan McPherson,K,K,19.0,7.79
1,2,Bears,100021,Eagles,DEF,DEF,3.0,7.23
1,11,This Is How We Do,100030,Jaguars,DEF,DEF,13.0,7.64
1,2,Bears,42626,Carnell Tate,WR,BN,3.9,6.04
1,11,This Is How We Do,40102,Tucker Kraft,TE,BN,4.75,6.69
1,2,Bears,40121,Michael Wilson,WR,BN,5.3,5.64
1,11,This Is How We Do,40051,Quentin Johnston,WR,BN,1.85,6.62
1,2,Bears,34047,Rachaad White,RB,BN,2.35,5.33
1,11,This Is How We Do,42730,Jonah Coleman,RB,BN,0.0,2.45
1,2,Bears,34088,Romeo Doubs,WR,BN,0.0,5.9
1,11,This Is How We Do,30971,Baker Mayfield,QB,BN,5.82,15.07
1,2,Bears,32696,Jordan Love,QB,BN,15.74,13.66
1,11,This Is How We Do,42702,Ja'Kobi Lane,WR,BN,1.05,3.79
1,2,Bears,42712,Kaelon Black,RB,BN,4.0,2.23
1,11,This Is How We Do,100034,Texans,DEF,BN,-2.0,5.9
1,2,Bears,,,,IR,,
1,11,This Is How We Do,40075,Zach Charbonnet,RB,IR,0.0,0.0
1,3,Futball in the Groin,31002,Lamar Jackson,QB,QB,18.48,15.57
1,12,“I’ll take Kittle”,41810,Jaxson Dart,QB,QB,25.3,16.64
1,3,Futball in the Groin,40059,Jahmyr Gibbs,RB,RB,21.8,14.73
